企业名称,注册资本,企业地址
青岛鑫城一鸣橡胶机械有限公司,5800万元人民币,山东省青岛市黄岛区王台镇康兴路108号
青岛海西岳丰机械有限公司,1000万元人民币,青岛市黄岛区王台镇庄家茔
青岛华海浩源机械有限公司,5万元人民币,山东省青岛市黄岛区王台镇巨洋路1号
青岛萨利特机械有限公司,5万元人民币,青岛市黄岛区王台镇驻地
青岛欧利德机械有限公司,1000万元人民币,青岛市黄岛区珠海街道办事处王家楼村北
青岛德尔德机械科技有限公司,1000万元人民币,青岛胶州市洋河镇艾山工业园
青岛三秀纺织科技集团有限公司,3000万元人民币,青岛胶州市胶东镇葛埠岭村
青岛科力达机械制造有限公司,1000万元人民币,山东省青岛市黄岛区寨子山路898号
青岛旭宏机械有限公司,1000万元人民币,青岛市黄岛区王台镇王黄路北侧236号
青岛瑞昌机械有限公司,108万元人民币,山东省青岛市黄岛区平湖路188号
青岛百佳机械科技有限公司,1000万元人民币,山东省青岛市黄岛区王台镇中村1号
青岛佳德引春机械有限公司,500万元人民币,青岛市黄岛区王台镇王台北村
青岛鸿益机械制造有限公司,50万元人民币,青岛市黄岛区王台镇王台北村
青岛盛鑫达机械有限公司,500万元人民币,山东省青岛市黄岛区王台镇顺台路218号
青岛嘉瑞橡胶机械有限公司,100万元人民币,青岛市黄岛区王台镇驻地
青岛大轮化纤机械有限公司,50万元人民币,青岛市黄岛区王台镇环台北路
青岛泽佳机械制造有限公司,50万元人民币,山东省青岛市胶州市洋河镇董城工业园区府前路
青岛万红引春机械有限公司,46万元人民币,山东省青岛市黄岛区王台镇石梁村村西
青岛豪烁机械有限公司,50万元人民币,山东省青岛市黄岛区王台镇王台北村411号
青岛金松川机械有限公司,100万元人民币,山东省青岛市黄岛区红石崖街道办事处崖逄社区园区一路3号
青岛普华重工机械有限公司,1070万元人民币,青岛市黄岛区海滨工业园飞宇路(原上海西二路)与月牙河路(原海滨八路)交汇处
青岛顺鑫伟业机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇环台北路84号
青岛钰佳源机械有限公司,30万元人民币,青岛市黄岛区王台镇西村
青岛新乐机械有限公司,200万元人民币,山东省青岛市城阳区上马街道北张社区南侧1000米
青岛滨海鸿泰机械有限公司,1000万元人民币,青岛市黄岛区珠山街道办事处琅琊台路北端
青岛盛翔机械有限公司,100万元人民币,青岛市黄岛区王台镇驻地
青岛奥普锦机械制造有限公司,100万元人民币,青岛市黄岛区王台镇环台东路
柏润机械（青岛）有限公司,100万元人民币,青岛市李沧区君峰路159号7号楼1单元2101户
青岛大鹏机械有限公司,2000万元人民币,青岛胶州市洋河镇工业园宋家村北
青岛佳春机械有限公司,500万元人民币,青岛市黄岛区王台镇郎中沟村
青岛江轩机械制造有限公司,50万元人民币,青岛市黄岛区王台镇诸黄公路西端
青岛佰希顿纺织有限公司,50万元人民币,山东省青岛市黄岛区双珠路136号
青岛青橡机械有限公司,50万元人民币,山东省青岛市黄岛区钱家山路783号
青岛鑫诚佳机械有限公司,168万元人民币,青岛市黄岛区王台镇庄家茔村
青岛泰维纺织实业有限公司,3000万美元,山东省青岛市保税港区青岛出口加工区七号线南
青岛鑫润聚机械有限公司,50万元人民币,青岛市黄岛区王台镇庄家茔村
青岛华兴达机械有限公司,100万元人民币,青岛市黄岛区藏南镇驻地
青岛特牧机械设备有限公司,100万美元,山东省青岛市市南区东海中路29号4号楼2单元402室
青岛维卡机械进出口有限公司,50万元人民币,山东省青岛市黄岛区台兴四路7号
青岛华肯机械科技有限公司,1000万元人民币,山东省青岛市黄岛区宝山镇瓦韩路
青岛宏润佳机械有限公司,30万元人民币,青岛黄岛区王台镇逄猛张村
青岛宏达华卓机械有限公司,122万元人民币,山东省青岛市市南区香港中路36号2701室
青岛盛宝利机械有限公司,1000万元人民币,青岛市黄岛区铁山工业园菊花山路南(铁山街道办事处)
青岛新鲁锋王针布有限公司,500万元人民币,青岛平度市南村镇朱诸路107号
青岛海西世平机械有限公司,48万元人民币,青岛市黄岛区王台镇东村
青岛福程春机械有限公司,2000万元人民币,青岛市黄岛区王台镇集贸市场北侧(原王台镇驻地)
青岛华凯伟业机械有限公司,100万元人民币,山东省青岛市黄岛区王台工业园98-11号
青岛圜林机械制造有限公司,50万元人民币,青岛胶州市洋河镇董城村
青岛永信兴纺织有限公司,50万元人民币,青岛保税区上海路34号一段三层A区6-3
天雄健新材料有限公司,18376.5万元人民币,山东省青岛市黄岛区西外环路西
山东华升机械有限公司,100万元人民币,山东省青岛市市南区香港中路36号2902室
青岛翔霖机械有限公司,30万元人民币,山东省青岛市黄岛区王台镇环台东路13号
青岛吉瑞特机械制造有限公司,1500万元人民币,青岛市黄岛区铁山工业园玉屏路18号
青岛亚泰达机械设备有限公司,3000万元人民币,青岛市黄岛区铁山街道办事处工业园金华路
青岛盛通机械科技有限公司,600万元人民币,青岛市黄岛区东岳中路西端
青岛汇城机械有限公司,1000万元人民币,青岛市黄岛区朝阳山路北端
青岛中鼎机械有限公司,500万元人民币,山东省青岛市黄岛区王台镇逄猛王村
青岛红强伟业机械有限公司,48万元人民币,山东省青岛市黄岛区王台镇驻地东村
青岛奥威机械有限公司,600万元人民币,山东省青岛市黄岛区平湖路257号
青岛中瑞特机械制造有限公司,50万元人民币,山东省青岛市黄岛区王台镇台中路38号
青岛龙锦机械有限公司,100万元人民币,青岛市黄岛区王台镇田家窑村
青岛恒润祥机械制造有限公司,660万元人民币,青岛胶州市里岔镇韩家庄村
青岛滨丰机械制造有限公司,1000万元人民币,青岛市黄岛区东岳西路313号
青岛科德机械有限公司,50万元人民币,青岛市黄岛区王台镇逄猛张村
青岛金泰宇机械有限公司,60万元人民币,青岛市黄岛区水灵山路北端
青岛中意源机械有限公司,50万元人民币,青岛市黄岛区王台镇兴台二路
青岛力创橡塑机械有限公司,600万元人民币,青岛市黄岛区王台镇小王家庄村东侧
青岛铭源机械科技有限公司,500万元人民币,山东省青岛市黄岛区王台镇同三路以东诸黄路以南
青岛海西宏博机械有限公司,500万元人民币,青岛市黄岛区王台镇小王家庄
青岛汇才机械制造有限公司,1888万元人民币,青岛黄岛区王台镇邱家
青岛日佳机械有限公司,100万元人民币,青岛胶州市洋河镇仉村村北
青岛君林机械有限公司,1000万元人民币,青岛市黄岛区(原胶南市)长城路9号
青岛旭泰克机械有限公司,200万元人民币,山东省青岛市黄岛区雷公山路177号
青岛鑫华福帝机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇204国道西侧
青岛克瑞斯机械有限公司,20万元人民币,青岛市黄岛区临河路(原滨河路88号)5栋3单元402
青岛福基纺织有限公司,748万美元,山东省青岛市胶州市九龙街道办事处营海工业园海尔大道东
青岛同盈家纺有限公司,50万元人民币,山东省青岛市平度市凤台街道办事处咸阳路8号
青岛豪世机械科技有限公司,50万元人民币,山东省青岛市黄岛区滨海大道1969号内10栋1216户
青岛昊烨机械有限公司,50万元人民币,青岛胶州市洋河镇宋家村
青岛吉川机械制造有限公司,370万元人民币,山东省青岛市黄岛区海西路2888号
青岛拓普信机械有限公司,20万元人民币,青岛市李沧区金水路1157号9号楼3单元601
青岛冠德恒业纺织工贸有限公司,50万元人民币,青岛市李沧区升平路20号4单元102户
青岛纳源机械制造有限公司,200万元人民币,青岛市黄岛区东岳中路543号
青岛铠硕机械科技有限公司,500万元人民币,山东省青岛市黄岛区王台镇郎中沟村
青岛华昱兴机械有限公司,200万元人民币,山东省青岛市黄岛区王台镇王黄路66号
青岛隆鑫吉机械有限公司,100万元人民币,山东省青岛市即墨区环秀街道办事处后东城村31号
青岛鲁尔佳机械有限公司,100万元人民币,山东省青岛市黄岛区珠海街道办事处孟家庄57号
青岛晟益精细化工有限公司,7万美元,青岛市城阳区流亭街道双元路西侧
青岛鑫润源机械有限公司,40万元人民币,山东省青岛市黄岛区王台镇石梁唐村
青岛金瑞泰机械有限公司,50万元人民币,青岛市黄岛区隐珠街道办事处海西路279号
青岛鼎诚恒信国际贸易有限公司,3万元人民币,青岛市黄岛区(原胶南市)泰华花园612号
青岛冠盛鑫宏机械制造有限公司,50万元人民币,青岛市黄岛区王台镇逄猛张村
青岛艾莉森机械科技有限公司,50万元人民币,山东省青岛市黄岛区王台镇逄猛王村
青岛联东制辊有限公司,200万元人民币,山东省青岛市胶州市中云街道办事处徐州路南、亳州路西侧
青岛华斯特制衣有限公司,124.1605万元人民币,青岛市城阳区流亭建材工业园
青岛海泓源机械设备有限公司,100万元人民币,山东省青岛市黄岛区王台镇环台北路93号
青岛骏帆机械有限公司,100万元人民币,山东省青岛市黄岛区世纪大道与民和街交界处珠山和贵园六号楼三单元602
青岛弘润达化工有限公司,50万元人民币,青岛市李沧区十梅庵路81号1单元401户
青岛光越橡胶机械制造有限公司,800万元人民币,山东省青岛市黄岛区王台镇(原黄山经济区)驻地
青岛海丰茂源机械设备进出口有限责任公司,6000万元人民币,山东省青岛市市南区山东路22号2号楼206户
青岛金永川机械制造有限公司,50万元人民币,山东省青岛市黄岛区王台镇西灰村
青岛西桥环保科技有限公司,1200万元人民币,山东省青岛市黄岛区铁山工业园茂隆山路8号
青岛惠佳机械有限公司,50万元人民币,青岛胶州市洋河镇宋家村北侧
青岛立腾伟业机械有限公司,20万元人民币,山东省青岛市黄岛区王台镇西灰村村东
青岛福睿奥机械有限公司,50万元人民币,山东省青岛市黄岛区金河路306号
青岛华尊机械股份有限公司,100万元人民币,青岛市胶州市洋河镇仉村
青岛普泰机械有限公司,30万元人民币,山东省青岛市黄岛区王台镇大朱阳村西
青岛昊利达机械制造有限公司,1000万元人民币,山东省青岛市黄岛区烟台东七路89号
青岛海能机械制造有限公司,48万元人民币,山东省青岛市黄岛区嘉宁路88号
青岛傲松纺织有限公司,100万元人民币,青岛胶州市胶西镇西门村
青岛恒煜引春机械有限公司,500万元人民币,青岛市黄岛区王台镇逄猛王村
青岛维尔博特机械有限公司,500万元人民币,青岛市黄岛区海滨工业园钱家山路(原海滨六路807号)
青岛科友精密机械有限公司,500万元人民币,山东省青岛市城阳区正阳东路1号
青岛澳陆石油机械有限公司,50万元人民币,青岛市市南区宁夏路243号1号楼1单元1203室
青岛铸特机械有限公司,50万元人民币,青岛市黄岛区朝阳山路36号(原北京路38号)
青岛翰昌机械设备有限公司,4000万元人民币,山东省青岛市黄岛区临港路69号
青岛海达茂机械制造有限公司,10万元人民币,青岛市黄岛区隐珠街道办事处灵海路105号
青岛世纪岩峰物流器械股份有限公司,1000万元人民币,青岛市黄岛区宝山镇张八朱村北
青岛聚诚机械科技有限公司,300万元人民币,青岛市黄岛区王台镇逄猛张村
青岛宇方机器人工业股份有限公司,3500万元人民币,青岛市崂山区株洲路153号益青基地2号楼12层1201-1203号房间
青岛豪达伟业机械有限公司,50万元人民币,青岛市黄岛区飞宇路358号
青岛科伦特机械有限公司,50万元人民币,山东省青岛市黄岛区珠峰街33号
青岛谦祥合纺织品科技有限公司,2800万元人民币,山东省青岛市胶州市胶莱镇马店工业园内
青岛润海针纺织品有限公司,50万元人民币,山东省青岛市黄岛区灵山卫街道办事处驻地
青岛佳洋铸造机械有限公司,48万元人民币,青岛市黄岛区王台镇庄家莹村
青岛华灿重工机械有限公司,600万元人民币,青岛市黄岛区寨子山路(原海滨七路381号)
青岛恒晟宇机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇王台北村工业园
青岛如顺煤炭有限公司,3000万元人民币,山东省青岛市黄岛区海滨大道1288号东方至尊6号楼二单元1402室
青岛丰拓机械有限公司,500万元人民币,山东省青岛市市北区龙城路31号卓越世纪中心3号楼3312户
青岛锦九洲橡胶机械有限公司,500万元人民币,山东省青岛市黄岛区王台镇莱疃村北
青岛万华纺织科技有限公司,50万元人民币,山东省青岛市胶州市洋河镇艾山工业园
青岛盛世引春机械科技有限公司,300万元人民币,山东省青岛市黄岛区王台镇张家岛耳河村西
青岛润盛林机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇黄张路雒家公交站北
青岛佳仕帛纺织品有限公司,100万元人民币,青岛市市北区瑞昌路226号海信环湾大厦1302户
青岛海川纺织有限公司,50万元人民币,山东省青岛市市南区香港中路6号世贸中心A2221
青岛青工机械有限公司,153万元人民币,山东省青岛市黄岛区隐珠街道办事处钱家山路807号
青岛优博特机械有限公司,50万元人民币,山东省青岛市黄岛区峄山路388号
青岛宝源发科技有限公司,20万元人民币,青岛市黄岛区王台镇王台路粮所南侧
青岛金汇丰机械有限公司,999万元人民币,山东省青岛市黄岛区滨海街道办事处海西路南端
青岛晟鑫瑞业机械有限公司,100万元人民币,山东省青岛市黄岛区红石崖街道办事处解家村357号
青岛瀚明鑫贸易有限公司,5000万元人民币,青岛市市南区长汀路2号丁
青岛诺宇纺织品有限公司,50万元人民币,青岛市城阳区长城南路6号2号楼502
青岛鑫顺和橡胶机械有限公司,1000万元人民币,山东省青岛市黄岛区民丰街87号
青岛宏茂源工贸有限公司,5098万元人民币,青岛胶州市洋河镇袁家小庄村
青岛合佳兴机械有限公司,30万元人民币,青岛市黄岛区王台镇河南薛村南204国道旁
青岛经纬合力机械制造有限公司,50万元人民币,青岛市黄岛区临港经济开发区胶州湾西路(原前湾港路581号)
青岛欧珀纺织有限公司,50万元人民币,青岛市市南区东海西路43号西塔楼17层A户
青岛华卓机械有限公司,100万元人民币,青岛市市南区瞿塘峡路1号712室
青岛热源纤维科技有限公司,2000万元人民币,山东省青岛市黄岛区香海路以北
青岛金昊机械制造有限公司,50万元人民币,青岛市黄岛区寨子山路(原滨海路368号)
青岛金膺机械有限公司,55万元人民币,青岛市李沧区青山路716号6号楼1单元1901户
青岛泰和嘉服装有限公司,100万美元,山东省青岛市黄岛区平湖路78号
青岛海润佳机械制造有限公司,200万元人民币,青岛市黄岛区王台镇顺台路168号
青岛卓乐纺织服装有限公司,100万元人民币,青岛市李沧区重庆中路903号9号楼2单元20层2003户
青岛国艺机绣抽纱有限公司,4000万元人民币,青岛市四方区顺昌路21号
青岛京春机械有限公司,50万元人民币,山东省青岛市黄岛区王台镇黄山经济区高速路口南
青岛青工赛特机械有限公司,1000万元人民币,山东省青岛市黄岛区琅琊台南路377号
青岛吉玛特机械制造有限公司,700万元人民币,山东省青岛市黄岛区台后工业园西外环路西侧
青岛铭辉纺织有限公司,50万元人民币,青岛胶州市张应镇西官庄村
青岛倍尔集机械科技有限公司,100万元人民币,山东省青岛市城阳区惜福镇街道王沙路1348号
青岛京久源机械设备有限公司,100万元人民币,山东省青岛市城阳区仙山西路16号双埠工业园
青岛固业沃橡塑有限公司,591万美元,青岛市胶州市杜村镇杜村
青岛兴沃机械科技有限公司,50万元人民币,青岛市市南区山东路22号1号楼21I
青岛佳德轴承有限公司,5万元人民币,青岛市黄岛区海天小区(新华路81-14号)
青岛海东机械设备有限公司,50万元人民币,山东省青岛市黄岛区广城工业园金海路60号
青岛彩潍真纺织有限公司,200万元人民币,青岛市崂山区深圳路222号2号楼604
青岛众骏达机械有限公司,50万元人民币,青岛市黄岛区香江路129号内27号楼207室
青岛之翰金属制造有限公司,50万元人民币,青岛市黄岛区王台镇驻地
青岛天远纺织有限公司,3万元人民币,山东省青岛市市南区香港中路100号中商大厦1607户
青岛长洋纺织品有限公司,265.69万元人民币,青岛胶州市胶北镇梁戈庄村
青岛鑫源金泽机械制造有限公司,500万元人民币,山东省青岛市黄岛区铁山工业园茂隆山路8号
青岛亚华机械有限公司,1000万元人民币,青岛市黄岛区王台镇驻地
青岛顺富昌机械有限公司,48万元人民币,青岛市黄岛区胶南经济开发区烟台路377号
青岛鸿鑫源纺织有限公司,116万元人民币,山东省青岛市黄岛区滨海大道1288号
青岛浩春机械有限公司,300万元人民币,青岛市黄岛区滨海街道办事处峡沟村北侧
青岛胶南孟山实业总公司,200万元人民币,青岛市黄岛区王台镇驻地
青岛越佳机械制造有限公司,30万元人民币,山东省青岛市黄岛区宝山镇大窝洛工业园
青岛格兰瑞机械有限公司,30万元人民币,青岛市即墨市龙山街道办事处前留村
青岛金盟科机械制造有限公司,200万元人民币,山东省青岛市城阳区惜福镇街道南寨工业园南端
青岛华顺德机械有限公司,48万元人民币,山东省青岛市黄岛区王台镇驻地
青岛银峰机电设备有限公司,20万元人民币,青岛市黄岛区胶南经济开发区明安路451号
青岛泰斯泰尔纺织有限公司,100万元人民币,山东省青岛市即墨市宝龙城市广场A座2319室
青岛永聚坤元纺织科技有限公司,81万元人民币,青岛市市南区福州南路87号2002户
青岛德诺华机械科技有限公司,300万元人民币,山东省青岛市黄岛区王台镇庄家茔村台南路39号
青岛纺联面料有限公司,1000万元人民币,青岛市市北区四流南路80号
青岛大富纺织有限公司,50万元人民币,青岛胶州市胶莱镇马店工业园
青岛佳纺精密机械制造有限公司,150万元人民币,青岛市城阳区上马街道北张村
青岛泰事达进出口有限公司,5800万元人民币,山东省青岛市崂山区松岭路169号1号楼B区503房间
青岛成实纺织有限公司,50万元人民币,青岛胶州市张应镇院后村村北
青岛时泰迪机械有限公司,10万元人民币,山东省青岛市黄岛区双珠路136号1栋1单元2308
青岛锦玛克棉花研发投资有限公司,2000万美元,青岛黄岛区琅琊台省级旅游度假区管委大楼
青岛恒利来纺织有限公司,100万元人民币,青岛胶州市九龙镇工业园
青岛铸工重型机械有限公司,600万元人民币,山东省青岛市黄岛区东岳西路112号
青岛世裕机械制造有限公司,50万元人民币,青岛胶州市洋河镇董城村
青岛富洋纺织有限公司,50万元人民币,青岛胶州市胶西镇工业园
青岛宏德奥机械制造有限公司,500万元人民币,山东省青岛市胶州市九龙街道办事处南孙家庄村
青岛龙泰机械制造有限公司,512万元人民币,青岛市黄岛区灵山湾路(原人民路117号)
青岛圣凯机械有限公司,150万元人民币,青岛市平度市白沙河街道办事处驻地
青岛文鹏万盛经贸有限公司,5000万元人民币,山东省青岛市市南区山东路29号银河大厦22-B09室
青岛博徕施纺织科技有限公司,200万美元,青岛胶州市胶东镇周家庄村
青岛中锦机械有限公司,100万元人民币,山东省青岛市黄岛区世纪大道867号
青岛天宇纺织有限公司,50万元人民币,山东省青岛市市南区南京路106号2号楼3单元501户
青岛伯锐泰克机械有限公司,100万元人民币,山东省青岛市黄岛区双珠路(原珠海东路213号)2栋1单元606
青岛伟成纺织企业有限公司,50万元人民币,青岛市四方区重庆南路60号*
青岛凯儒雅纺织有限公司,20万元人民币,山东省青岛市市南区福州南路19号5号楼1701户
永泓贸易有限公司,5000万元人民币,山东省青岛市黄岛区长江中路230号国贸大厦A座2607室
青岛恩德伟业机械制造有限公司,300万元人民币,青岛经济技术开发区长江中路230号A座办公2514
青岛浩元机械制造有限公司,48万元人民币,山东省青岛市黄岛区王台镇(原黄山经济区)驻地
青岛凤凰美昊印染有限公司,130.6万美元,青岛市四方区舞阳路7号
青岛同心时装有限公司,100万元人民币,青岛市李沧区惠水路620号2号楼1单元1902户
青岛恒信引春机械科技有限公司,300万元人民币,山东省青岛市黄岛区王台镇石梁唐村北
青岛九纬机械制造有限公司,100万元人民币,山东省青岛市黄岛区安远路北端
青岛名辰纺织有限公司,50万元人民币,山东省青岛市市南区香港中路6号世贸中心A座2519室
青岛润盛林工贸有限公司,10万元人民币,山东省青岛市黄岛区王台镇台东路60号
青岛麦琪机械有限公司,50万元人民币,青岛市市北区镇江路7号1号楼丙号
青岛海昌机械有限公司,500万元人民币,山东省青岛市黄岛区峄山路309号
青岛诺方圣机械制造有限公司,50万元人民币,山东省青岛市黄岛区王台镇东村村南
青岛市平度华昌纺织服装有限责任公司,60万元人民币,青岛市平度市仁兆镇代王疃村
青岛弘鹏纺织科技有限公司,120万元人民币,山东省青岛市胶州市胶北街道办事处元中路1号
青岛晨伟机械有限公司,20万元人民币,山东省青岛市胶州市洋河镇艾山工业园
青岛汇富纺织有限公司,1000万元人民币,山东省青岛市保税港区青岛出口加工区登科地产3号楼
青岛八王子鞋服有限公司,820万美元,山东省青岛市黄岛区泊里镇工贸园红石路中段
青岛纺联纺织有限公司,50万元人民币,青岛市四方区四流南路80号
青岛宝仁机械有限公司,100万元人民币,青岛胶州市南关办事处池子崖东
青岛鑫犇纺织服装有限公司,50万元人民币,青岛胶州市三里河街道办事处西辛置村
青岛中亿伟业机械制造有限公司,500万元人民币,山东省青岛市城阳区兴海路3号
青岛新诺宏晟机械有限公司,100万元人民币,山东省青岛市胶州市胶莱镇陆家村
青岛正航通达经贸有限公司,50万元人民币,青岛市李沧区金水路599号C区31号
青岛三一三机械有限公司,200万元人民币,山东省青岛市胶州市洋河镇宋家村北
青岛鑫都和金属制品有限公司,50万元人民币,青岛市黄岛区隐珠街道办事处董家庄
青岛仁迈纺织有限公司,100万元人民币,青岛市黄岛区黄岛街道办事处十字路园社区办公楼313室
青岛长丰纺织有限公司,50万元人民币,青岛胶州市北关街道办事处八里庄村西
青岛汇志瑞和纺织品有限公司,50万元人民币,青岛市市南区南京路101号东单元504户
青岛亨特工业机械有限公司,50万元人民币,青岛市黄岛区东岳中路3375号
青岛正丰元机电科技有限公司,300万元人民币,青岛市黄岛区王台镇恒台路201号
青岛精工益机械有限公司,50万元人民币,青岛胶州市洋河镇山相家村
青岛乾行机械有限公司,100万元人民币,山东省青岛市黄岛区王台镇王台工业园环台北路北侧
青岛嘉威塑料机械有限公司,600万元人民币,青岛胶州市胶东街道办事处东外环路东侧现状路北侧
青岛嘉炫机械有限公司,100万元人民币,山东省青岛市黄岛区胶南街道办事处瓦屋庄村
青岛德科机械设备有限公司,100万元人民币,青岛市李沧区九水东路130号3号楼8楼801-04
青岛华尔威机械制造有限公司,46万元人民币,青岛市黄岛区东岳中路(原泰山路595号)
青岛万兴隆纺织有限公司,100万元人民币,山东省青岛市城阳区城阳街道西城汇社区居委会东100米
青岛得八兄弟机械有限公司,1000万元人民币,山东省青岛市李沧区安顺路30号
