厂名,注册资本,地址,产品,批准编号
陕西海斯诺生物制药有限公司,300万(元),陕西省铜川市新区南部工业园区大堂五路9号,一次性使用医用口罩,陕械注准20202140008
陕西沭畅医疗器械有限公司,1,000万(元),陕西省商洛市商州区商丹循环工业经济园区刘湾生态工业园,医用外科口罩,陕械注准20202140030
陕西正晟康源生物医药有限公司,500万(元),陕西省西咸新区沣西新城钓台街办钓台开发区8号,医用外科口罩,陕械注准20202140035
陕西正晟康源生物医药有限公司,500万(元),陕西省西咸新区沣西新城钓台街办钓台开发区8号,一次性使用医用口罩,陕械注准20202140037
陕西宏基药业有限公司,27,000万(元),陕西省西咸新区沣东新城丰全路189号,医用外科口罩,陕械注准20202140028
陕西宏基药业有限公司,27,000万(元),陕西省西咸新区沣东新城丰全路189号,一次性使用医用口罩,陕械注准20202140027
陕西宁源康泰医疗器械有限公司,1,099万(元),陕西省安康市高新技术产业开发区岚皋飞地经济产业园区,医用外科口罩,陕械注准20202140053
陕西天宇长安健康产业集团有限公司,8,000万(元),西安市高新区科技二路68号软件园发展中心科技开发楼1302室302号,医用外科口罩,陕械注准20202140046
陕西天宇长安健康产业集团有限公司,8,000万(元),西安市高新区科技二路68号软件园发展中心科技开发楼1302室302号,一次性使用医用口罩,陕械注准20202140045
陕西大志药业有限公司,1,380万(元),陕西省西咸新区空港新城临空产业园10号厂房,医用外科口罩,陕械注准20202140010
陕西大志药业有限公司,1,380万(元),陕西省西咸新区空港新城临空产业园10号厂房,一次性使用医用口罩,陕械注准20202140009
陕西华瑞邦医疗科技股份有限公司,1,000万(元),陕西省韩城市金城区龙泉工业园168号,医用外科口罩,陕械注准20202140007
陕西医药控股集团医疗科技有限公司,2,000万(元),陕西省西安市高新区丈八街办团结南路20号,医用防护口罩,陕械注准20202140024
陕西医药控股集团医疗科技有限公司,2,000万(元),陕西省西安市高新区丈八街办团结南路20号,医用外科口罩,陕械注准20202140038
陕西医药控股集团医疗科技有限公司,2,000万(元),陕西省西安市高新区丈八街办团结南路20号,一次性使用医用口罩,陕械注准20202140039
陕西一方平康制药有限公司,15,000万(元),陕西省西咸新区沣西新城沣润西路2773号,医用外科口罩,陕械注准20202140044
陕西一方平康制药有限公司,15,000万(元),陕西省西咸新区沣西新城沣润西路2773号,一次性使用医用口罩,陕械注准20202140051
际华三五四三针织服饰有限公司,15,000万(元),河北省涿州市范阳中路239号,一次性使用医用外科口罩（非无菌）,冀械注准20202140124
际华三五四三针织服饰有限公司,15,000万(元),河北省涿州市范阳中路239号,一次性使用医用外科口罩（无菌）,冀械注准20202140148
阳普医疗（湖南）有限公司,5,000万(元),湖南省宜章经济开发区宜章大道东6号,医用外科口罩,湘械注准20202140090
阳普医疗（湖南）有限公司,5,000万(元),湖南省宜章经济开发区宜章大道东6号,医用防护口罩(无菌型),湘械注准20202140182
阜宁县正兴医用敷料有限公司,30万(元),阜宁县郭墅张庄四组,一次性使用医用口罩,苏械注准20172642367
长沙金纳尔医疗器械有限公司,200万(元),浏阳经开区湘台路18号长沙E中心一期B4栋二层01号房,医用外科口罩（非无菌型）,湘械注准20202140397
长沙金纳尔医疗器械有限公司,200万(元),浏阳经开区湘台路18号长沙E中心一期B4栋二层01号房,一次性使用医用口罩（非无菌型）,湘械注准20202140398
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,医用外科口罩（非无菌型）,湘械注准20202140356
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,医用外科口罩（无菌型）,湘械注准20202140355
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,医用防护口罩（无菌型）,湘械注准20202140392
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,医用防护口罩（非无菌型）,湘械注准20202140393
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,一次性使用医用口罩（非无菌型）,湘械注准20202140376
长沙邦创生物科技有限公司,2,000万(元),浏阳经济技术开发区康万路188号汉元孵化园A栋二楼,一次性使用医用口罩（无菌型）,湘械注准20202140375
长沙邦仁医疗设备科技有限公司,2,000万(元),长沙市开福区沙坪街道中青路1318号佳海工业园第E12栋102号房屋,医用外科口罩（无菌型）,湘械注准20202140604
长沙瑞泰医学科技有限公司,1,000万(元),长沙高新开发区东方红中路586号2号科研楼1楼2楼,医用外科口罩（无菌型）,湘械注准20202140400
长沙瑞泰医学科技有限公司,1,000万(元),长沙高新开发区东方红中路586号2号科研楼1楼2楼,医用外科口罩（非无菌型）,湘械注准20202140405
长沙瑞泰医学科技有限公司,1,000万(元),长沙高新开发区东方红中路586号2号科研楼1楼,一次性使用医用口罩（非无菌型）,湘械注准20202140247
长沙海润生物技术有限公司,1,158万(元),长沙高新开发区谷苑路229号 湖南麓谷国际医疗器械产业园A4栋5、7、8层，A3栋2层,医用外科口罩(无菌型）,湘械注准20202140382
长沙海润生物技术有限公司,1,158万(元),长沙高新开发区谷苑路229号 湖南麓谷国际医疗器械产业园A4栋5、7、8层，A3栋2层,医用外科口罩（非无菌型）,湘械注准20202140381
长沙比亚迪电子有限公司,5,000万(元),望城经济开发区腾飞路9号,一次性使用医用口罩（非无菌型）,湘械注准20202140103
长沙昌久医疗科技有限公司,365万(元),长沙市开福区沙坪街道中青路1048号山河医药健康产业园13-15栋609-610房,医用外科口罩（非无菌型）,湘械注准20202140674
长沙昌久医疗科技有限公司,365万(元),长沙市开福区沙坪街道中青路1048号山河医药健康产业园13-15栋609-610房,医用外科口罩（无菌型）,湘械注准20202140673
长沙威迈医疗器械有限公司,100万(元),长沙市高新开发区文轩路518号1栋1楼101车间,医用外科口罩（非无菌型）,湘械注准20202140469
长沙威迈医疗器械有限公司,100万(元),长沙市高新开发区文轩路518号1栋1楼101车间,医用外科口罩（无菌型）,湘械注准20202140470
长沙博奥医学科技有限公司,2,000万(元),长沙市岳麓区学士街道学士路152号长沙岳麓科技产业园智芯科技楼四楼,医用外科口罩（无菌型）,湘械注准20202140627
长沙博奥医学科技有限公司,2,000万(元),长沙市岳麓区学士街道学士路152号长沙岳麓科技产业园智芯科技楼四楼,医用外科口罩（非无菌型）,湘械注准20202140628
长沙博奥医学科技有限公司,2,000万(元),长沙市岳麓区学士街道学士路152号长沙岳麓科技产业园智芯科技楼四楼,一次性使用医用口罩（无菌型）,湘械注准20202140625
长沙博奥医学科技有限公司,2,000万(元),长沙市岳麓区学士街道学士路152号长沙岳麓科技产业园智芯科技楼四楼,一次性使用医用口罩（非无菌型）,湘械注准20202140626
长沙励思生物技术有限公司,120万(元),长沙经济开发区枫树路 280 号千山健康园区 4 楼,医用外科口罩（非无菌型）,湘械注准20202140460
长沙励思生物技术有限公司,120万(元),长沙经济开发区枫树路 280 号千山健康园区 4 楼,医用外科口罩（无菌型）,湘械注准20202140461
长兴美迪康无纺布制品有限公司,200万(元),长兴县和平镇石泉村,一次性使用医用口罩,浙械注准20202141003
长东医疗器械集团有限公司,12,000万(元),长垣县佘家王庄村1号,医用外科口罩,豫械注准20172640069
长东医疗器械集团有限公司,12,000万(元),长垣县佘家王庄村1号,医用防护口罩,豫械注准20162640746
长东医疗器械集团有限公司,12,000万(元),长垣县佘家王庄村1号,一次性使用无菌医用口罩,豫械注准20162640077
锡林郭勒盟美雅福医疗器械有限公司,580万(元),内蒙古自治区锡林郭勒盟多伦县多伦诺尔镇西出口内蒙古中薯薯业有限公司厂区内,一次性使用医用口罩,内械注准20202140011
银京医疗科技（上海）股份有限公司,4,530万(元),上海市浦东新区南汇工业园区园西路586号,一次性使用医用口罩,沪械注准20192140124
鑫顺发新材料科技有限责任公司,5,000万(元),漳州市长泰县经济开发区兴泰工业园区1号厂房,一次性使用医用口罩,闽械注准20202140206（临时）
鑫海合星科技（大连）有限公司,600万(元),辽宁省大连经济技术开发区双D4街19-5号-1,医用外科口罩,辽械注准20202140034
鑫海合星科技（大连）有限公司,600万(元),辽宁省大连经济技术开发区双D4街19-5号-1,一次性使用医用口罩,辽械注准20202140018
金绿源(中国)生物科技有限公司,5,000万(香港元),龙岩漳平菁城街道富山北路26号B幢1号,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140086（临时）
金士达医疗（咸宁）有限公司,6,800万(元),湖北省咸宁市咸安区永安东路79号1号生产大楼4区GMP车间,一次性使用医用口罩,鄂械注准20192142733
金士达医疗(咸宁)有限公司,6,800万(元),湖北省咸宁市咸安区永安东路79号1号生产大楼4区GMP车间,一次性使用医用外科口罩,鄂械注准20202142861
金华美鑫防护用品厂,-,浙江省金华市金东区孝顺镇镇北功能区二十一地块府西路77号,医用防护口罩,浙械注准20202141029
金华美鑫防护用品厂,-,浙江省金华市金东区孝顺镇镇北功能区二十一地块府西路77号,一次性使用医用口罩,浙械注准20202141010
金华市科达医疗器械有限公司,80万(元),-,一次性使用医用口罩,浙械注准20162640791
金华市景迪医疗用品有限公司,500万(元),金华市金东区孝顺镇低田功能区\2幢,医用普通口罩,浙械注准20202140065
金华市景迪医疗用品有限公司,500万(元),金华市金东区孝顺镇低田功能区\2幢,医用外科口罩,浙械注准20202141033
重庆莱福医疗科技有限公司,1,180万(元),重庆市南岸区江桥路3-7号3号厂房3楼,医用外科口罩,渝械注准20202140062
重庆莱福医疗科技有限公司,1,180万(元),重庆市南岸区江桥路3-7号3号厂房3楼,一次性使用医用口罩,渝械注准20202140061
重庆科雷卫生材料有限公司,500万(元),重庆市合川工业园区南溪组团标准化厂房B10幢第一层、第二层,一次性使用医用口罩,渝械注准20202140047
重庆烯珀医疗器械有限公司,100万(元),重庆市綦江区古南街道工业园区A区标准化厂房12、13号,一次性使用医用口罩,渝械注准20202140065
重庆惠全医疗器械有限公司,100万(元),重庆市丰都县兴义镇水天坪兴丰路68号9栋、重庆市丰都县水天坪工业园水坪大道108号（标准厂房15幢第一层）,一次性使用医用口罩,渝械注准20202140038
重庆帕西嘉生物科技有限公司,300万(元),重庆市九龙坡区凤萧路5号2号厂房A区,医用外科口罩,渝械注准20202140059
重庆帕西嘉生物科技有限公司,300万(元),重庆市九龙坡区凤萧路5号2号厂房A区,一次性使用医用口罩,渝械注准20202140058
重庆市宏冠医疗设备有限公司,300万(元),重庆市南岸区江峡路8号16幢,医用外科口罩,渝械注准20202140046
重庆市宏冠医疗设备有限公司,300万(元),重庆市南岸区江峡路8号16幢,一次性使用口罩,渝械注准20172640027
重庆双双卫生材料有限公司,500万(元),重庆市巴南区石桂大道8号1幢5-3,医用外科口罩,渝械注准20192140143
重庆双双卫生材料有限公司,500万(元),重庆市巴南区石桂大道8号1幢5-3,一次性使用医用口罩,渝械注准20192140144
重庆再升科技股份有限公司,70,281.5332万(元),重庆市渝北区回兴街道婵衣路1号,医用防护口罩,渝械注准20202140057
重庆佰纳医疗器械有限公司,500万(元),重庆市南岸区茶园玉马路18号内B1幢2层,医用外科口罩,渝械注准20162640007
重庆佰纳医疗器械有限公司,500万(元),重庆市南岸区茶园玉马路18号内B1幢2层,一次性医用口罩,渝械注准20162640027
重庆优希贝乐生物科技有限公司,3,000万(元),重庆市合川区南溪组团标准化厂房B9幢第三层,一次性使用医用口罩,渝械注准20202140053
重庆上坤医疗器械有限公司,500万(元),重庆市丰都县水天坪工业园区标准厂房第13栋东段3、4层,一次性使用医用口罩,渝械注准20182140184
郑州康佰甲科技有限公司,6,153万(元),郑州航空港区建设路南侧科技创业服务中心7区,一次性使用医用口罩,豫械注准20202140705
郑州山山医疗用品有限公司,500万(元),郑州市中牟县官渡工业园区辉煌三路南、金菊三街东,医用外科口罩,豫械注准20202140090
郑州山山医疗用品有限公司,500万(元),郑州市中牟县官渡工业园区辉煌三路南、金菊三街东,一次性使用医用口罩,豫械注准20202140076
邵阳智康医疗器械有限公司,1,100万(元),大禾塘办事处卿家村,医用外科口罩（无菌型）,湘械注准20202140309
邵阳智康医疗器械有限公司,1,100万(元),大禾塘办事处卿家村,一次性使用医用口罩（非无菌型）,湘械注准20202140183
邵阳智康医疗器械有限公司,1,100万(元),湖南省邵阳市邵东县大禾塘办事处卿家村,一次性使用医用口罩,湘械注准20172640243
邵阳市千康益医疗器械有限公司,1,080万(元),邵东市廉桥镇320国道廉桥电管所旁,医用防护口罩,湘械注准20202140162
邵阳市千康益医疗器械有限公司,1,080万(元),邵东市廉桥镇320国道廉桥电管所旁,医用防护口罩,湘械注准20202140163
邵阳市千康益医疗器械有限公司,1,080万(元),邵东县廉桥镇320国道廉桥电管所旁,一次性使用医用口罩,湘械注准20162640038
邵阳市千康益医疗器械有限公司,1,080万(元),邵东县廉桥镇320国道廉桥电管所旁,一次性使用医用外科口罩,湘械注准20162640039
邵阳市千康益医疗器械有限公司,1,080万(元),邵东县廉桥镇320国道廉桥电管所旁,一次性使用口罩、帽子组合包,湘械注准20172640174
邯郸恒永防护洁净用品有限公司,10,000万(元),河北省邯郸市永年工业园区内,医用防护口罩,冀械注准20202140036
邯郸恒永防护洁净用品有限公司,10,000万(元),河北省永年工业园区内,医用外科口罩,冀械注准20202140089
邯郸市富源卫生材料厂,-,邯郸市魏张路12公里处,一次性使用口罩、帽子,冀械注准20182640067
邦盛医疗装备（天津）股份有限公司,6,171.745万(元),天津开发区逸仙科学工业园翠鸣道16号D座南区,一次性使用医用口罩,津械注准20202140819
遂宁摩天时代医疗器械有限公司,1,500万(元),四川省遂宁市经济技术开发区西宁片区纵一路3号楼2楼B区,一次性使用医用口罩,川械注应急准20202140043
进贤益成实业有限公司,2,000万(元),江西省南昌市进贤县创业大道699号,一次性使用医用口罩,赣械注准20172640215
辽源市广而洁消毒剂有限公司,3,000万(元),-,医用防护口罩,吉械注准20152640101
辽宁盛京堂生物科技有限公司,1,000万(元),沈阳市沈北新区乐业街118-3号,医用防护口罩,辽械注准20202140070
辽宁盛京堂生物科技有限公司,1,000万(元),沈阳市沈北新区乐业街118-3号,医用防护口罩,辽械注准20202140069
辽宁海洲药业有限公司,8,000万(元),兴城市南桥路43号,医用外科口罩,辽械注准20202140063
辽宁海洲药业有限公司,8,000万(元),兴城市南桥路43号,一次性使用医用口罩,辽械注准20202140062
辽宁浩宏医疗科技股份有限公司,30,000万(元),鞍山市千山区建设大道618号,医用外科口罩,辽械注准20202140030
辽宁浩宏医疗科技股份有限公司,30,000万(元),鞍山市千山区建设大道618号,一次性使用医用口罩,辽械注准20202140029
辽宁浩宏医疗科技股份有限公司,30,000万(元),鞍山市千山区建设大道618号,一次性使用医用口罩,辽械注准20202140065
辽宁众源医疗器械有限公司,6,000万(元),辽宁省铁岭市西丰县公合村工业园区,医用外科口罩,辽械注准20202140044
辽宁众源医疗器械有限公司,6,000万(元),辽宁省铁岭市西丰县公合村工业园区,一次性使用医用口罩,辽械注准20202140043
辽宁众源医疗器械有限公司,6,000万(元),辽宁省铁岭市西丰县公合村工业园区,一次性使用医用口罩,辽械注准20202140042
赤峰吉康医疗器械有限公司,4,000万(元),内蒙古自治区赤峰市红山区高新技术产业开发区1号,一次性使用医用口罩,内械注准20202140016
赤峰九州通达医疗器械有限公司,818万(元),赤峰市红山经济开发区维信路北段,赤峰市松山区木兰街西段一号内蒙古恒正集团赤峰工贸有限公司服装加工二车间,医用外科口罩,内械注准20202140018
赤峰九州通达医疗器械有限公司,818万(元),赤峰市红山经济开发区维信路北段,医用外科口罩,内械注准20202140007
赤峰九州通达医疗器械有限公司,818万(元),赤峰市红山经济开发区维信路北段,赤峰市松山区木兰街西段一号内蒙古恒正集团赤峰工贸有限公司服装加工二车间,一次性使用医用口罩,内械注准20202140017
赤峰九州通达医疗器械有限公司,818万(元),赤峰市红山经济开发区维信路北段,一次性使用医用口罩,内械注准20202140006
贵港市冠峰塑料制品有限公司,288万(元),贵港市西江产业园区西江二路与狮岭路交汇处西南角,一次性使用医用口罩(非无菌型),桂械注准20202140062
贵州鸿鑫医疗器械科技有限公司,1,200万(元),-,一次性使用医用口罩,黔械注准20172640051
贵州骏江实业有限公司,1,080万(元),-,医用脱脂纱布口罩,黔械注准20172640037
贵州骏江实业有限公司,1,080万(元),-,一次性使用医用外科手术口罩,黔械注准20172640019
贵州天使医疗器材有限公司,6,000万(元),-,医用外科口罩,黔械注准20172640023
贵州天使医疗器材有限公司,6,000万(元),贵州省清镇市高科技产业规划园区,医用防护口罩,黔械注准20182640035
贵州天使医疗器材有限公司,6,000万(元),-,一次性使用医用口罩,黔械注准20162640090
贵州天使医疗器材有限公司,6,000万(元),-,医用脱脂纱布口罩,黔械注准20162640092
贝克尔（天津）药业有限公司,3,000万(元),天津市武清区大良镇隆良道5号,一次性使用医用口罩,津械注准20202140838
贝克尔（天津）药业有限公司,3,000万(元),天津市武清区大良镇隆良道5号,一次性医用外科口罩,津械注准20202140839
诗丽雅化妆品(泉州)有限公司,5,200万(元),福建省泉州经济技术开发区美泰路24号,一次性使用医用口罩(非无菌型),闽械注准20202140145（临时）
西安住邦无纺布制品有限公司,600万(元),西安沣京工业园兴园路3号标准化厂房,医用防护口罩,陕械注准20202140011
西安住邦无纺布制品有限公司,600万(元),西安沣京工业园兴园路3号标准化厂房,一次性使用医用口罩,陕械注准20202140005
西安住邦无纺布制品有限公司,600万(元),西安沣京工业园兴园路3号标准化厂房,医用外科口罩,陕械注准20202140048
衡阳市力达康医疗器械有限公司,3,000万(元),湖南省衡山县开云镇经济开发区,医用外科口罩（无菌型）,湘械注准20202140186
衡阳市力达康医疗器械有限公司,3,000万(元),湖南省衡山县开云镇经济开发区,一次性使用医用口罩,湘械注准20172640359
衡水市安帮医疗器材厂,-,衡水市冀州区小寨乡政府南邻,一次性使用医用外科口罩、医用帽,冀械注准20162630084
衡水市安帮医疗器材厂,-,衡水市冀州区小寨乡政府南邻,一次性使用医用普通口罩,冀械注准20152640138
蚌埠崇迪生物科技有限公司,1,898万(元),安徽省蚌埠市沫河口工业园淝河北路26号,一次性使用医用口罩,皖械注准20202140056
蚌埠崇迪生物科技有限公司,1,898万(元),安徽省蚌埠市沫河口工业园淝河北路26号,医用外科口罩,皖械注准20202140057
蓝思科技股份有限公司,392,682.8281万(元),湖南省浏阳经济技术开发区湘台路9号,一次性使用医用口罩（非无菌型）,湘械注准20202140399
蓝思科技股份有限公司,392,682.8281万(元),湖南省浏阳经济技术开发区湘台路9号,一次性使用医用口罩（无菌型）,湘械注准20202140419
蓝山县神盾科技有限公司,1,000万(元),湖南省永州市蓝山县塔峰镇东方大道湘江源皮革皮具产业园西二街5号,一次性使用医用口罩（无菌型）,湘械注准20202140608
蓝山县神盾科技有限公司,1,000万(元),湖南省永州市蓝山县塔峰镇东方大道湘江源皮革皮具产业园西二街5号,一次性使用医用口罩（非无菌型）,湘械注准20202140607
蓝佳堂生物医药(福建)有限公司,1,000万(元),福州市仓山区盖山镇盘屿路869号金山工业集中区福湾片区标准厂房17号楼3-4层,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140117（临时）
菏泽三木卫生材料有限公司,516万(元),山东省菏泽高新区高新技术工业园（马岭岗镇诚信路南王翰林河西邻）,医用外科口罩,鲁械注准20202140219
莱州市博爱卫生用品有限公司,589.65万(元),莱州市经济开发区玉泰路西首,医用外科口罩,鲁械注准20202140150
莱州市利康卫生用品厂,-,山东烟台莱州市朱桥镇埠后李村,医用外科口罩,鲁械注准20182140425
莱州市利康卫生用品厂,-,山东烟台莱州市朱桥镇埠后李村,一次性使用医用口罩,鲁械注准20182140424
荆门新立医用纺织品有限公司,1,500万(元),湖北省荆门高新区·掇刀区深圳大道东延线装备制造产业园内21号、22号、24号、25号、28号,一次性医用口罩,鄂械注准20132641357
英诺利科技（深圳）有限公司,50万(元),深圳市龙岗区坪地街道坪西社区坪西南路17-1号A栋201,一次性使用医用口罩,粤械注准20162640210
苏州艾旺纺织品有限公司,300万(美元),苏州市相城区元和镇,医用外科口罩,苏械注准20182141781
苏州波力斯医疗科技有限公司,300万(元),张家港市杨舍镇百家桥村（疏港高速公路西侧）,一次性使用医用口罩,苏械注准20192141292
苏州新纶超净技术有限公司,22,527.9235万(元),苏州工业园区唯亭镇唯新路115号,医用外科口罩,苏械注准20162641124
苏州新纶超净技术有限公司,22,527.9235万(元),苏州工业园区唯亭镇唯新路115号,一次性使用医用口罩,苏械注准20172640339
苏州新区金桥工贸有限公司,500万(元),苏州高新区嵩山路89号5号厂房五楼西半部分,一次性使用医用口罩,苏械注准20192140920
苏州市白雪医疗器械有限公司,1,000万(元),吴江区黎里镇北厍社区梅墩村（厍南路218号）,医用外科口罩,苏械注准20202140198
苏州市白雪医疗器械有限公司,1,000万(元),吴江区黎里镇北厍社区梅墩村（厍南路218号）,一次性使用医用口罩,苏械注准20202140199
苏州市白雪医疗器械有限公司,1,000万(元),吴江区黎里镇北厍社区梅墩村（厍南路218号）,一次性使用医用口罩,苏械注准20152641069
苏州市奥健医卫用品有限公司,600万(元),苏州市吴中区临湖镇浦庄经济开发区,一次性使用医用口罩,苏械注准20192140565
