企业名称,注册资本,企业地址
无锡灵泰医疗科技有限公司,1000万元人民币,无锡市滨湖区马山梅梁路88号311-3
无锡新生医疗美容医院有限公司,218万元人民币,无锡市县前东街111
江苏宇强医疗器械有限公司,500万元人民币,宜兴经济开发区诸桥路
江苏芸众医疗科技有限公司,1000万元人民币,无锡惠山经济开发区惠山大道1719-1号1号楼四层A区
无锡君成医疗器械有限公司,1001万元人民币,无锡市新吴区锡梅路90号
普科林医疗器材江阴有限公司,200万元人民币,江阴市临港街道贵宾路52号
无锡崇文医疗有限公司,30万元人民币,无锡市惠山区前洲街道崇文东路122、124
无锡恒利医疗科技有限公司,1000万元人民币,无锡市新吴区梅村新洲路228号
恩久医疗科技无锡有限公司,500万元人民币,无锡市滨湖区锦溪路100号
无锡隆康医疗器械有限公司,50万元人民币,无锡市新吴区南方不锈钢交易中心6-101、103、105
江苏金泰医疗器械有限公司,1000万元人民币,无锡市新吴区长江南路35-205
江苏美创医疗器械有限公司,1000万元人民币,无锡市梁溪区上马墩路160号5050
无锡禾盛医疗器械有限公司,1000万元人民币,无锡市惠山经济开发区惠山大道1699号3502室(开发区)
无锡市怡和医疗器械有限公司,818万元人民币,无锡市学前街36号
江苏泓正医疗科技有限公司,1100万元人民币,宜兴市和桥镇创业园纯江路(工业地产园)
无锡杜泰医疗科技有限公司,900万元人民币,无锡市梁溪区广益路289-1631
江苏声泽医疗器械有限公司,1000万元人民币,无锡市锡山区安镇街道兖矿信达大厦A栋11层
江苏棣华医疗科技有限公司,1000万元人民币,无锡市梁溪区会岸路1-3-1
无锡恒康医疗科技有限公司,1000万元人民币,无锡市滨湖区隐秀路811号-1901、1902
无锡美服医疗器械有限公司,1100万元人民币,无锡市惠山区钱桥盛岸西路587-2-2018
无锡双雄医疗管理服务有限公司,1400万元人民币,无锡市新吴区金城大厦1-509
无锡威迈德医疗用品有限公司,1000万元人民币,无锡市锡山区厚桥街道安泰三路1060号
江苏恒旺医疗科技有限公司,1000万元人民币,无锡市新区旺庄街道荆同工业园42号厂房三楼
江苏誉诺医疗器材有限公司,1000万元人民币,宜兴市新街街道绿园路47号
无锡创维医疗器械有限公司,50万元人民币,无锡市鸿桥路801-1805
江苏腾超医疗器械有限公司,1000万元人民币,无锡市新吴区净慧东道与和风路交汇处启迪协信中心5号楼1812-1814室
江苏风和医疗科技有限公司,1000万元人民币,江阴市东盛西路6号D3第一层
江阴瑞健医疗器械有限公司,800万元人民币,"江阴市高巷路427、429号,寿山路190号"
江苏可悦医疗器械有限公司,1000万元人民币,无锡市锡山区东北塘农坝村农新路132-3
江苏润丰医疗科技有限公司,1000万元人民币,江阴市镇澄路7号
江苏斐尔曼医疗科技有限公司,1000万元人民币,无锡市清扬路189号4楼
无锡南驰医疗科技有限公司,266万元人民币,无锡市优谷商务园18-502、503
无锡道生中医文化发展有限公司,500万元人民币,无锡市滨湖区中南西路88号827、828、829
高峰医疗器械（无锡）有限公司,200万元人民币,无锡惠山经济开发区惠山大道1719-18号101室
无锡辰辰医疗器械有限公司,500万元人民币,无锡市锡山区东北塘锦旺步行街162-80
江阴仁康医疗设备有限公司,818万元人民币,江阴市文化中路33号2楼
无锡市通达医疗电器有限公司,300万元人民币,无锡市扬名高新技术产业园B区054号
无锡璟田康医疗科技有限公司,1080万元人民币,无锡市新吴区金城东路380号1号楼二楼A区
无锡市天健医疗器械有限公司,50万元人民币,江阴市长泾镇河塘中心街27号-3
无锡美生医疗器械有限公司,800万元人民币,宜兴市新街街道绿园路489号60幢
江苏正步医疗器械有限公司,1000万元人民币,无锡市滨湖区梁溪路928号-12
江苏润嘉医疗器械有限公司,1000万元人民币,江苏江阴-靖江工业园区沿江高等级公路21号2-270室
无锡高是医疗技术有限公司,1620万元人民币,宜兴市万石镇工业集中区(南区)
无锡乐苑医疗有限公司,10万元人民币,无锡市惠山区钱桥街道藕洛路75
无锡铂肴医疗仪器有限公司,500万元人民币,无锡市新吴区新洲路228号
无锡市想康医疗器械有限公司,100万元人民币,无锡市兴源北路572号
江阴葆春医疗器械有限公司,1200万元人民币,江阴市澄江街道通江北路85号1801室
江苏银环奥泰医疗科技有限公司,1666.67万元人民币,宜兴经济技术开发区庆源大道
江阴华士医疗器械有限公司,1000万元人民币,江阴市华士镇华陆路589号
无锡康嘉医疗器械有限公司,1000万元人民币,无锡市堰桥街道西漳锡澄南路66号
江阴市华卫医疗器械有限公司,1000万元人民币,江阴市东盛西路2号生物医药加速器A3楼1单元3-5层
无锡驰瑞医疗科技有限公司,1000万元人民币,无锡市锡沪东路377-202
无锡安德医疗科技有限公司,1000万元人民币,无锡惠山经济开发区惠山大道1719-2号二层A区
无锡优莱美医疗科技有限公司,10万元人民币,无锡市滨湖区高浪东路999号C1号楼9层
江苏邹逸天医疗科技有限公司,1000万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
无锡智超医疗器械有限公司,780万元人民币,无锡新区太湖国际科技园大学科技园530大厦A501号
无锡康维医疗器械有限公司,500万元人民币,无锡市惠山区洛社镇梅泾村(工业集中区)
江苏睿悦医疗设备有限公司,1008万元人民币,江阴市石庄启港路128号
江阴汇诚医疗科技有限公司,1000万元人民币,江阴市东盛西路6号D2(1楼)
无锡百年医疗美容门诊有限公司,300万元人民币,无锡市梁溪区人民西路24号三、四楼
无锡名嘉医疗器械有限公司,210万元人民币,无锡市贡湖大道2-7号C区一楼
无锡雍禾医疗美容门诊有限公司,200万元人民币,无锡市梁溪区县前西街99-3层
江阴汇泰医疗器械有限公司,860万元人民币,江阴市镇澄路698号
江苏代奥医疗器械有限公司,1000万元人民币,江阴市云亭街道北街10号
江阴飘迈医疗用品有限公司,409.675201万元人民币,江阴市华士镇华长路553—1号
江苏吉和医疗设备有限公司,1000万元人民币,江阴市申港街道亚包大道18号
爱尔美医疗美容江苏有限公司,1000万元人民币,无锡市新吴区金城东路333-1-805
无锡爱克威医疗器械有限公司,1001万元人民币,无锡市锡山区东亭街道迎宾北路1号
无锡梁鸿医疗科技服务有限公司,200万元人民币,无锡市新吴区鸿山街道鸿昌路63号
无锡惠丰医疗科技有限公司,100万元人民币,无锡惠山经济开发区风电园风能路53-108号
无锡安之卓医疗机器人有限公司,1995.373052万元人民币,无锡惠山经济开发区锦惠路10号(开发区)
无锡华清医疗器械有限公司,1000万元人民币,无锡市锡山经济开发区芙蓉中三路99号
无锡红光医疗器械有限公司,150万元人民币,无锡市锡山区锡北镇西新路21号
宜兴典美医疗美容有限公司,50万元人民币,宜兴市宜城街道解放东路397号
无锡亿源医疗器械有限公司,601万元人民币,无锡市滨湖区金城湾一里街13号
无锡诺颜医疗美容有限公司,600万元人民币,无锡市新区纺城大道299号深港都会广场9楼1101(经营场所:无锡市新区坊城大道299号深港都会广场9-1125、1126)
江苏辰隆医疗器械有限公司,1000万元人民币,无锡市新吴区纺城大道299号深港都会广场10-2019、2020、2021
江苏金弘医疗器械有限公司,1000万元人民币,江阴市东盛西路2号B10栋1单元
无锡济生医疗科技有限公司,1000万元人民币,无锡市新吴区长江南路29号
无锡名泽医疗投资管理有限公司,2000万元人民币,无锡市苏锡路2-7号二楼
江苏诺诚医疗器械有限公司,1000万元人民币,江阴市新园路6号
无锡吉康医疗器械有限公司,800万元人民币,"无锡市锡山区东亭街道资景苑1-33,1-34,4-1,1-32二楼一间"
江苏绎润医疗科技有限公司,1000万元人民币,无锡惠山经济开发区惠山大道1699号8901室(开发区)
无锡博康医疗器械有限公司,350万元人民币,江阴市璜土镇澄常工业集中区永利路208号
江苏新红医医疗科技有限公司,100万元人民币,无锡市新吴区菱湖大道111号无锡软件园天鹅座D幢301室G86
金马医疗器械（无锡）有限公司,58.5万美元,无锡市锡山区锡北镇锡港西路99号
江阴市康特医疗器械有限公司,801万元人民币,江阴市澄江西路293号(港城大厦7楼东区)
江阴市上德医疗器械有限公司,818万元人民币,江阴市临港街道崇文路531号
无锡卓韵医疗器械有限公司,1000万元人民币,宜兴市芳桥街道龙眼村
无锡美优医疗器械有限公司,800万元人民币,无锡市滨湖区钱荣路108号-26
宜兴丽都医疗美容门诊部有限公司,12万元人民币,宜兴市宜城街道人民南路141号101室
江阴景帆医疗器械有限公司,500万元人民币,江阴市月城镇火车站路3号
无锡康承医疗科技有限公司,200万元人民币,无锡市经开区锡南路216号-2(301室)
无锡多为医疗设备有限公司,500万元人民币,无锡市梁溪区广瑞路780号430室
无锡健翔医疗器械有限公司,800万元人民币,无锡市新生路76-6A
国华环球（无锡）医疗科技有限公司,407万美元,无锡新区长江路7号科技园四区115室
中红医疗器械江苏有限公司,1000万元人民币,无锡惠山经济开发区玉祁配套区(南联村)
无锡新生美医疗科技有限公司,50万元人民币,无锡市梁溪区锡澄路圆融广场260-1单元21层2108号
无锡俏侬医疗器械有限公司,1000万元人民币,无锡市新吴区长江北路271-24
江阴仁和医疗科技有限公司,1000万元人民币,江阴市绮山路138弄155号
无锡中禾医疗器械有限公司,1000万元人民币,无锡市锦溪路99号B区一单元1508室
无锡杰森医疗器械有限公司,1000万元人民币,无锡市新吴区菱湖大道228号天安智慧城3-704
江阴勇华医疗有限公司,10万元人民币,江阴市云亭街道云台路114号
无锡博旭医疗科技有限公司,500万元人民币,无锡市惠山区前洲街道中惠大道1588号70号楼6067室(城铁惠山站区)
无锡畅奕医疗科技发展有限公司,2000万元人民币,无锡市新吴区长江南路35号
无锡凯默医疗科技有限公司,300万元人民币,无锡市新吴区招商城路99号503、505、507、508、510(营业场所:无锡市新吴区招商城路99号001号)
江苏景鹊医疗科技有限公司,1100万元人民币,无锡市梁溪区会岸路90号-18516
凯创医疗管理（无锡）有限公司,160万美元,无锡市新吴区和风路26号新发汇融广场C栋1楼
宽岳医疗科技（无锡）有限责任公司,1000万元人民币,无锡市锡山区安镇街道丹山路88号锡东创融大厦D座304
江阴华硕医疗器械有限公司,300万元人民币,江阴市天虹苑8号1201、1202、1203
无锡康鑫达医疗器械有限公司,500万元人民币,江阴市青阳镇旌阳南路320号(得瑞尔物流8190-8191室)
江苏云杏医疗管理有限公司,1000万元人民币,"江阴市长泾镇苏巷路23号(301-309),25号,27号,29号,31号,43号"
无锡升运医疗科技有限公司,100万美元,无锡惠山经济开发区惠山大道1719-5号三层B区
无锡慧宁医疗器械有限公司,500万元人民币,无锡市惠山区钱桥盛岸西路592号-2006
无锡全健乐医疗器械有限公司,1500万元人民币,无锡市滨湖区万达广场D区20号
江苏宜尚医疗科技有限公司,1000万元人民币,无锡市锡山区安镇街道翠山路488号无锡东站高铁商务中心C栋六楼612室
无锡华想医疗科技有限公司,1000万元人民币,无锡长江南路35-312号生命科技园3号楼
江苏巨全禄医疗器械有限公司,1000万元人民币,宜兴市宜城街道东虹路419号
国健凯思医疗科技无锡有限公司,500万元人民币,无锡市新吴区菱湖大道228号天安智慧城6
